NCTId,PD-L1,CUI
NCT00021333,NULL,
NCT02151149,NULL,
NCT00004011,NULL,
NCT00006378,NULL,
NCT00003235,NULL,
NCT00081302,NULL,
NCT04640935,NULL,
NCT00003587,NULL,
NCT02366143,PD-L1_Negative,C4054670
NCT03780010,NULL,
NCT00006484,NULL,
NCT01107626,NULL,
NCT02716038,PD-L1_Negative,C4054670
NCT03573947,NULL,
NCT00913705,NULL,
NCT01366131,NULL,
NCT00434135,NULL,
NCT00003158,NULL,
NCT01454102,PD-L1_Negative,C4054670
NCT00702975,NULL,
NCT00144053,NULL,
NCT00005065,NULL,
NCT02684461,PD-L1_Negative,C4054670
NCT00832494,NULL,
NCT00006012,NULL,
NCT00113516,NULL,
NCT00071188,NULL,
NCT00898417,NULL,
NCT00003881,NULL,
NCT02182232,NULL,
NCT00556088,NULL,
NCT01862081,NULL,
NCT00032032,NULL,
NCT03196986,NULL,
NCT00280787,NULL,
NCT01486602,NULL,
NCT00003072,NULL,
NCT00563784,NULL,
NCT01496742,NULL,
NCT02364999,NULL,
NCT00800202,NULL,
NCT00998192,NULL,
NCT00003089,NULL,
NCT00252798,NULL,
NCT00034164,NULL,
NCT00979212,NULL,
NCT00003812,NULL,
NCT00033696,NULL,
NCT02944396,PD-L1_Negative,C4054670
NCT02944396,PD-L1_Positive,C4284303
NCT02944396,Lack of Expression of PD-L1,C4054670
NCT01085136,NULL,
NCT00480831,NULL,
NCT00874848,NULL,
NCT00005806,NULL,
NCT00043108,NULL,
NCT02303977,NULL,
NCT00004137,NULL,
NCT01326767,NULL,
NCT03095209,NULL,
NCT01051934,NULL,
NCT02754882,NULL,
NCT00126581,NULL,
NCT00900172,NULL,
NCT02567799,NULL,
NCT00049790,NULL,
NCT00006004,NULL,
NCT02220894,PD-L1_Positive,C4284303
NCT03850444,PD-L1_Positive,C4284303
NCT03099577,PD-L1_Negative,C4054670
NCT00033410,NULL,
NCT00762034,NULL,
NCT00193310,NULL,
NCT00040794,NULL,
NCT00476216,NULL,
NCT00033553,NULL,
NCT00004202,NULL,
NCT00259675,NULL,
NCT00001450,NULL,
NCT01966003,NULL,
NCT01134250,NULL,
NCT02810457,PD-L1_Negative,C4054670
NCT02591615,PD-L1_Negative,C4054670
NCT02591615,PD-L1_Positive,C4284303
NCT02591615,Lack of Expression of PD-L1,C4054670
NCT00002852,NULL,
NCT00035152,NULL,
NCT00085839,NULL,
NCT02073968,NULL,
NCT00003313,NULL,
NCT02289456,NULL,
NCT00025480,NULL,
NCT00915005,NULL,
NCT03366480,NULL,
